"Story","Title","Result","Date","Stability","Duration (s)"
"Verificador de la salud de los servicios","Verficar que lo servicios funcionen correctamente","SUCCESS","2023-02-01T00:15:29.80746-05:00[America/Bogota]","0.0","0.53"
"Servicio web de Gestion de reservas","Creacion y busqueda de una reserva usando el apellido del cliente","SUCCESS","2023-02-01T00:15:20.459854-05:00[America/Bogota]","0.0","1.82"
"Servicio web de Gestion de reservas","Actualizacion total de reserva para cliente","SUCCESS","2023-02-01T00:15:27.646819-05:00[America/Bogota]","0.0","0.53"
