"Story","Title","Result","Date","Stability","Duration (s)"
"Servicio web de Gestion de reservas","Actualizacion total de reserva para cliente","SUCCESS","2023-01-31T20:40:15.527679-05:00[America/Bogota]","0.0","0.04"
"Servicio web de Gestion de reservas","Creacion, modificacion, busqueda y eliminacion de la misma reserva","SUCCESS","2023-02-01T00:02:20.635458-05:00[America/Bogota]","0.0","20.78"
"Servicio web de Gestion de reservas","Creacion, busqueda de una reserva usando la fecha de checkin","SUCCESS","2023-02-01T00:02:41.426146-05:00[America/Bogota]","0.0","6.16"
