"Story","Title","Result","Date","Stability","Duration (s)"
"Servicio web de Gestion de reservas","Creacion, modificacion, busqueda y eliminacion de la misma reserva","PENDING","2023-01-31T20:40:15.081643-05:00[America/Bogota]","0.0","0.29"
"Servicio web de Gestion de reservas","Creacion y busqueda de una reserva usando el nombre del cliente","PENDING","2023-01-31T20:40:15.394176-05:00[America/Bogota]","0.0","0.04"
"Servicio web de Gestion de reservas","Creacion, busqueda de una reserva usando la fecha de checkin","PENDING","2023-01-31T20:40:15.46532-05:00[America/Bogota]","0.0","0.03"
