"Story","Title","Result","Date","Stability","Duration (s)"
"Verificador de la salud de los servicios","Verficar que lo servicios funcionen correctamente","SUCCESS","2023-02-01T00:37:32.138321-05:00[America/Bogota]","0.0","0.52"
"Servicio web de Gestion de reservas","Creacion y busqueda de una reserva usando el apellido del cliente","SUCCESS","2023-02-01T00:37:23.1522-05:00[America/Bogota]","0.0","1.59"
"Servicio web de Gestion de reservas","Actualizacion total de reserva para cliente","SUCCESS","2023-02-01T00:37:30.34862-05:00[America/Bogota]","0.0","0.65"
